seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	
31.284  	2.988   	2.898   	-9.290  	2.714   	2.097   	0.825   	3.964   	-       	
31.369  	3.063   	2.929   	-9.330  	2.722   	2.100   	0.817   	3.871   	-       	
31.463  	3.219   	2.714   	-9.387  	2.729   	2.103   	0.810   	3.685   	-       	
31.554  	3.558   	-1.288  	-6.558  	2.735   	2.104   	0.804   	3.370   	-       	
31.651  	2.871   	-2.191  	-6.853  	2.739   	2.101   	0.794   	3.365   	gaze started: StoneWallROI	
31.736  	2.608   	-2.195  	-7.036  	2.738   	2.095   	0.781   	3.281   	-       	
31.828  	2.578   	-2.195  	-6.712  	2.735   	2.092   	0.768   	3.352   	gaze started: WellROI	
31.921  	2.638   	-2.195  	-6.962  	2.731   	2.092   	0.755   	3.325   	-       	
32.018  	2.166   	0.192   	-8.725  	2.728   	2.090   	0.743   	3.565   	-       	
32.111  	3.480   	0.590   	-6.956  	2.723   	2.089   	0.728   	3.593   	-       	
32.208  	3.558   	1.292   	-9.250  	2.716   	2.089   	0.712   	3.765   	gaze started: StoneWallROI	
32.297  	2.711   	2.449   	-9.240  	2.710   	2.097   	0.688   	3.667   	-       	
32.408  	2.715   	2.356   	-9.236  	2.704   	2.101   	0.668   	3.728   	-       	
32.498  	1.027   	2.521   	-8.639  	2.699   	2.098   	0.650   	3.712   	-       	
32.597  	1.212   	2.495   	-8.881  	2.694   	2.096   	0.634   	3.574   	-       	
32.693  	2.679   	2.221   	-9.209  	2.687   	2.098   	0.625   	3.415   	-       	
32.797  	3.247   	2.107   	-9.472  	2.681   	2.101   	0.615   	3.367   	-       	
32.893  	-0.265  	-0.287  	4.050   	2.675   	2.103   	0.601   	0.000   	-       	
32.995  	-2.255  	-0.969  	-7.344  	2.667   	2.102   	0.585   	3.481   	gaze started: CanalROI	
33.082  	-2.726  	-1.111  	-7.081  	2.659   	2.099   	0.567   	3.377   	-       	
33.173  	-2.639  	-1.013  	-7.196  	2.656   	2.095   	0.544   	3.445   	-       	
33.265  	-2.432  	-0.167  	-7.247  	2.657   	2.096   	0.521   	3.557   	-       	
33.374  	-3.815  	2.028   	-6.796  	2.663   	2.099   	0.496   	3.558   	-       	
33.460  	-2.948  	2.039   	-7.110  	2.674   	2.104   	0.469   	3.710   	-       	
33.563  	-3.724  	2.200   	-6.819  	2.686   	2.106   	0.444   	3.709   	-       	
33.655  	-2.959  	2.124   	-7.314  	2.697   	2.108   	0.425   	3.740   	-       	
33.752  	-3.198  	1.938   	-6.999  	2.707   	2.111   	0.408   	3.698   	-       	
33.847  	-2.970  	2.064   	-7.083  	2.717   	2.114   	0.394   	3.655   	-       	
33.941  	-4.161  	2.101   	-6.679  	2.725   	2.115   	0.384   	3.618   	-       	
34.037  	-3.516  	1.974   	-6.899  	2.732   	2.115   	0.376   	3.681   	-       	
34.130  	-2.992  	1.961   	-7.551  	2.736   	2.115   	0.371   	3.760   	-       	
34.225  	-3.187  	1.934   	-7.003  	2.740   	2.115   	0.367   	3.793   	-       	
34.328  	2.363   	-1.079  	6.578   	2.742   	2.116   	0.365   	0.000   	-       	
34.428  	-4.132  	1.845   	-6.693  	2.745   	2.116   	0.364   	3.751   	gaze started: PebblesROI	
34.530  	-4.122  	1.817   	-6.697  	2.747   	2.116   	0.364   	3.869   	-       	
34.620  	-4.164  	1.675   	-6.694  	2.749   	2.116   	0.364   	3.970   	-       	
34.719  	-9.173  	2.126   	-5.206  	2.750   	2.116   	0.364   	4.137   	-       	
34.817  	-8.862  	2.189   	-5.344  	2.750   	2.116   	0.365   	4.060   	-       	
34.908  	-10.004 	1.969   	-4.938  	2.751   	2.117   	0.367   	4.023   	-       	
35.006  	-9.354  	1.858   	-5.134  	2.750   	2.117   	0.369   	4.033   	-       	
35.096  	-6.548  	-1.383  	-3.560  	2.749   	2.117   	0.370   	4.000   	-       	
35.208  	-5.894  	-1.746  	-2.691  	2.748   	2.117   	0.371   	4.045   	-       	
35.295  	-5.956  	-1.677  	-2.678  	2.746   	2.116   	0.372   	4.066   	-       	
35.392  	-6.188  	-1.486  	-2.815  	2.743   	2.115   	0.372   	4.096   	-       	
35.495  	-6.224  	-1.444  	-3.727  	2.740   	2.114   	0.371   	3.992   	-       	
35.584  	4.810   	-1.068  	6.719   	2.732   	2.109   	0.370   	0.000   	-       	
35.684  	6.857   	-1.993  	8.916   	2.719   	2.104   	0.374   	0.000   	gaze started: PebblesROI	
35.776  	-0.757  	-0.393  	1.803   	2.707   	2.097   	0.383   	4.096   	-       	
35.884  	-0.878  	-0.411  	1.448   	2.696   	2.085   	0.396   	4.129   	gaze started: CanalROI	
35.985  	-0.692  	-0.405  	1.574   	2.690   	2.075   	0.410   	4.008   	-       	
36.085  	-0.326  	-0.662  	2.231   	2.692   	2.069   	0.427   	4.109   	-       	
36.186  	-0.096  	-1.876  	3.737   	2.690   	2.067   	0.440   	4.335   	-       	
36.283  	0.113   	-1.892  	3.955   	2.689   	2.065   	0.454   	4.230   	-       	
36.383  	0.024   	-1.880  	3.796   	2.688   	2.066   	0.470   	4.091   	-       	
36.485  	-0.951  	-0.223  	5.244   	2.685   	2.069   	0.487   	4.235   	-       	
36.578  	-0.758  	-0.240  	4.894   	2.678   	2.071   	0.507   	4.024   	gaze started: CanalROI	
36.674  	-0.729  	-0.240  	4.890   	2.671   	2.072   	0.524   	4.007   	-       	
36.777  	-0.760  	-0.245  	4.801   	2.663   	2.071   	0.539   	3.903   	-       	
36.873  	-5.365  	-2.250  	12.122  	2.655   	2.070   	0.551   	3.933   	-       	
37.006  	-1.014  	-0.198  	5.760   	2.648   	2.072   	0.565   	3.861   	-       	
37.103  	-1.381  	-0.128  	7.176   	2.630   	2.075   	0.596   	3.901   	gaze started: CanalROI	
37.196  	-1.432  	-0.164  	6.457   	2.627   	2.071   	0.598   	3.810   	-       	
37.292  	-1.367  	-0.162  	6.495   	2.618   	2.065   	0.607   	3.701   	-       	
37.396  	-0.601  	-0.174  	6.227   	2.609   	2.066   	0.609   	3.670   	-       	
37.490  	-0.276  	-0.550  	3.728   	2.598   	2.070   	0.610   	3.600   	-       	
37.595  	-0.277  	-0.368  	3.699   	2.588   	2.074   	0.608   	3.603   	-       	
37.690  	-0.277  	-0.407  	3.687   	2.578   	2.078   	0.605   	3.645   	gaze fixated: CanalROI	
37.797  	6.108   	0.978   	-0.058  	2.570   	2.078   	0.604   	0.000   	-       	
37.901  	1.512   	-1.135  	5.469   	2.563   	2.078   	0.605   	3.627   	gaze started: StoneWallROI	
37.995  	1.686   	-1.143  	5.299   	2.561   	2.078   	0.609   	3.622   	gaze started: PebblesROI	
38.094  	1.746   	-1.148  	5.209   	2.560   	2.077   	0.612   	3.700   	-       	
38.195  	0.812   	-1.158  	5.034   	2.562   	2.076   	0.613   	3.624   	-       	
38.292  	5.973   	0.988   	-1.384  	2.565   	2.077   	0.615   	0.000   	-       	
38.395  	3.951   	-1.105  	6.001   	2.572   	2.076   	0.616   	3.771   	gaze started: TufaROI	
38.493  	4.144   	-1.120  	5.695   	2.579   	2.075   	0.614   	3.736   	gaze started: PebblesROI	
38.584  	3.852   	-1.127  	5.567   	2.587   	2.072   	0.610   	3.682   	-       	
38.683  	6.298   	-2.035  	6.211   	2.593   	2.071   	0.606   	3.905   	-       	
38.774  	6.153   	-2.038  	6.327   	2.598   	2.070   	0.601   	3.861   	-       	
38.873  	5.020   	-1.151  	5.030   	2.602   	2.070   	0.597   	3.692   	-       	
38.984  	6.527   	-1.516  	5.575   	2.606   	2.070   	0.593   	3.658   	gaze started: PebblesROI	
39.072  	6.528   	-1.578  	5.583   	2.610   	2.069   	0.587   	3.512   	gaze started: StoneWallROI	
39.174  	6.565   	0.207   	5.658   	2.614   	2.069   	0.581   	3.627   	-       	
39.263  	6.471   	0.341   	5.270   	2.615   	2.071   	0.578   	3.619   	-       	
39.386  	4.115   	0.719   	-5.214  	2.613   	2.074   	0.577   	0.000   	-       	
39.475  	7.403   	-0.270  	11.392  	2.613   	2.080   	0.580   	3.435   	-       	
39.585  	5.256   	-0.185  	11.051  	2.614   	2.090   	0.588   	3.488   	-       	
39.681  	1.303   	-0.153  	12.153  	2.621   	2.096   	0.600   	3.453   	-       	
39.775  	-3.338  	-0.984  	13.175  	2.636   	2.101   	0.618   	3.425   	-       	
39.872  	-0.009  	-0.548  	11.703  	2.653   	2.105   	0.637   	3.224   	-       	
39.964  	-3.471  	-0.909  	13.255  	2.671   	2.107   	0.655   	3.148   	gaze started: CanalROI	
40.060  	-1.242  	-0.026  	9.245   	2.692   	2.108   	0.674   	3.121   	-       	
40.164  	-0.867  	-0.001  	9.730   	2.711   	2.110   	0.689   	3.172   	gaze started: CanalROI	
40.256  	-45.489 	-0.497  	123.054 	2.732   	2.113   	0.704   	3.136   	-       	
40.352  	-49.158 	-3.064  	122.167 	2.751   	2.115   	0.716   	3.066   	-       	
40.450  	-43.575 	0.428   	123.604 	2.766   	2.113   	0.723   	3.060   	-       	
40.541  	-6.081  	-1.272  	6.745   	2.776   	2.113   	0.722   	3.047   	-       	
40.639  	-4.908  	-1.216  	8.276   	2.784   	2.114   	0.716   	2.788   	-       	
40.730  	-4.904  	-1.342  	7.949   	2.789   	2.114   	0.707   	2.773   	-       	
40.819  	-5.941  	-1.889  	9.570   	2.794   	2.114   	0.692   	2.782   	-       	
40.917  	-6.423  	-2.016  	10.876  	2.797   	2.115   	0.678   	2.807   	-       	
41.004  	-0.317  	-0.740  	2.498   	2.800   	2.115   	0.662   	3.020   	-       	
41.107  	-0.315  	-0.650  	2.556   	2.803   	2.112   	0.644   	3.163   	gaze started: CanalROI	
41.200  	-0.323  	-0.624  	2.322   	2.805   	2.107   	0.629   	3.258   	-       	
41.296  	-0.315  	-0.624  	2.559   	2.806   	2.102   	0.614   	3.331   	-       	
41.393  	-1.207  	-2.470  	1.468   	2.805   	2.095   	0.601   	3.396   	-       	
41.494  	-1.377  	-2.445  	1.752   	2.804   	2.088   	0.590   	3.587   	-       	
41.593  	-0.358  	-0.987  	1.253   	2.804   	2.081   	0.577   	3.616   	-       	
41.706  	-0.401  	-0.696  	-0.032  	2.803   	2.075   	0.563   	3.685   	gaze started: CanalROI	
41.806  	-0.586  	-0.523  	-0.831  	2.802   	2.069   	0.547   	3.725   	-       	
41.906  	-0.847  	-0.499  	-0.323  	2.803   	2.065   	0.530   	3.610   	-       	
42.001  	0.009   	0.079   	0.001   	2.806   	2.063   	0.516   	3.731   	-       	
42.096  	0.016   	0.078   	0.008   	2.810   	2.064   	0.505   	3.671   	-       	
42.191  	-0.983  	-0.491  	-0.166  	2.814   	2.066   	0.497   	3.653   	-       	
42.295  	-0.438  	-0.610  	-1.128  	2.816   	2.068   	0.491   	3.642   	gaze started: CanalROI	
42.400  	-0.419  	-0.541  	-0.557  	2.818   	2.072   	0.486   	3.764   	-       	
42.506  	-0.509  	-0.513  	-0.618  	2.823   	2.076   	0.481   	3.746   	-       	
42.603  	-0.554  	-0.514  	-0.642  	2.831   	2.076   	0.474   	3.698   	-       	
42.706  	0.122   	-2.158  	-2.772  	2.837   	2.075   	0.468   	3.628   	-       	
42.810  	-0.208  	-2.158  	-2.549  	2.845   	2.073   	0.458   	3.735   	-       	
42.905  	-1.364  	-2.592  	-1.940  	2.856   	2.069   	0.444   	3.688   	-       	
42.999  	1.381   	-1.970  	-3.225  	2.872   	2.060   	0.425   	3.787   	-       	
43.105  	1.045   	-2.053  	-3.057  	2.884   	2.058   	0.412   	3.757   	-       	
43.204  	0.833   	-2.109  	-2.980  	2.893   	2.059   	0.405   	3.757   	-       	
43.295  	2.730   	-2.195  	-4.808  	2.900   	2.060   	0.407   	3.945   	-       	
43.391  	3.572   	-3.028  	-5.829  	2.908   	2.062   	0.415   	4.032   	gaze started: WellROI	
43.495  	3.369   	-2.195  	-4.801  	2.911   	2.065   	0.426   	3.946   	-       	
43.593  	2.908   	-2.195  	-5.126  	2.914   	2.064   	0.445   	3.920   	gaze started: WellROI	
43.695  	3.389   	-2.195  	-4.922  	2.919   	2.062   	0.469   	3.872   	-       	
43.783  	3.984   	-2.286  	-4.171  	2.921   	2.061   	0.495   	3.819   	-       	
43.906  	3.583   	-2.323  	-4.252  	2.920   	2.062   	0.523   	3.878   	-       	
43.995  	3.473   	-2.323  	-4.209  	2.919   	2.063   	0.550   	3.910   	-       	
44.096  	-4.923  	0.100   	8.248   	2.921   	2.062   	0.584   	0.000   	-       	
44.191  	4.348   	-0.934  	-3.345  	2.922   	2.064   	0.607   	3.956   	-       	
44.295  	4.277   	-1.127  	-3.628  	2.922   	2.067   	0.631   	3.752   	gaze started: StoneWallROI	
44.390  	4.561   	0.496   	-2.540  	2.923   	2.067   	0.651   	3.475   	-       	
44.496  	4.533   	0.523   	-2.655  	2.926   	2.068   	0.669   	3.500   	-       	
44.585  	4.625   	0.616   	-2.281  	2.928   	2.072   	0.686   	3.589   	-       	
44.707  	-7.982  	-1.150  	7.234   	2.931   	2.075   	0.700   	0.000   	-       	
44.804  	1.446   	-2.050  	-6.912  	2.930   	2.078   	0.706   	3.753   	-       	
44.895  	2.436   	-2.195  	-6.236  	2.924   	2.082   	0.710   	3.854   	-       	
44.990  	2.555   	-2.195  	-6.341  	2.917   	2.084   	0.709   	3.927   	gaze started: WellROI	
45.084  	2.880   	-2.195  	-6.225  	2.909   	2.087   	0.705   	3.784   	-       	
45.194  	3.008   	-2.190  	-6.727  	2.903   	2.089   	0.700   	3.661   	-       	
45.294  	2.871   	-2.195  	-6.693  	2.900   	2.090   	0.697   	3.524   	-       	
45.389  	3.186   	-1.599  	-6.807  	2.899   	2.090   	0.690   	3.456   	gaze started: WellROI	
45.485  	3.858   	1.203   	-9.292  	2.899   	2.095   	0.676   	3.619   	-       	
45.618  	4.095   	1.175   	-8.668  	2.902   	2.104   	0.659   	3.518   	-       	
45.716  	2.730   	1.637   	-9.358  	2.923   	2.115   	0.625   	3.432   	gaze started: TufaROI	
45.808  	4.273   	1.476   	-7.990  	2.925   	2.116   	0.620   	3.384   	-       	
45.905  	0.108   	-1.022  	-7.943  	2.939   	2.120   	0.596   	3.214   	gaze started: TufaROI	
46.007  	0.774   	-0.683  	-8.248  	2.952   	2.121   	0.572   	3.218   	-       	
46.095  	2.852   	1.978   	0.100   	2.966   	2.118   	0.542   	3.191   	-       	
46.185  	2.935   	1.836   	0.100   	2.979   	2.108   	0.513   	3.320   	-       	
46.274  	2.945   	1.850   	0.100   	2.988   	2.099   	0.487   	3.389   	-       	
